B0,B1,B2
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.01
0.0,0.0,0.01
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.12,0.0,0.0
0.1,0.0,0.0
0.08,0.0,0.0
0.08,0.0,0.0
0.08,0.0,0.0
0.06,0.0,0.0
0.03,0.0,0.0
0.05,0.0,0.0
0.08,0.0,0.0
0.11,0.0,0.0
0.18,0.0,0.65
0.08,0.0,0.37
0.0,0.0,0.36
0.0,0.0,0.32
0.0,0.0,0.28
0.0,0.0,0.2
0.0,0.0,0.09
0.0,0.0,0.07
0.0,0.0,0.05
0.0,0.0,0.01
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.01
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.02
0.0,0.0,0.03
0.0,0.0,0.01
0.0,0.0,0.01
0.0,0.0,0.03
0.0,0.0,0.02
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.02
0.0,0.0,0.02
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.03
0.0,0.0,0.04
0.0,0.0,0.03
0.0,0.0,0.03
0.0,0.0,0.05
0.0,0.0,0.06
0.0,0.0,0.05
0.0,0.0,0.04
0.0,0.0,0.04
0.0,0.0,0.05
0.0,0.0,0.04
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.01
0.0,0.0,0.02
0.0,0.0,0.01
0.0,0.0,0.01
0.0,0.0,0.02
0.0,0.0,0.03
0.0,0.0,0.03
0.0,0.0,0.02
0.0,0.0,0.02
0.0,0.0,0.03
0.0,0.0,0.04
0.0,0.0,0.02
0.0,0.0,0.01
0.0,0.0,0.03
0.0,0.0,0.04
0.0,0.0,0.03
0.0,0.0,0.01
0.0,0.0,0.02
0.0,0.0,0.04
0.0,0.0,0.04
0.0,0.0,0.03
0.0,0.0,0.03
0.0,0.0,0.05
0.0,0.0,0.06
0.0,0.0,0.04
0.0,0.0,0.02
0.0,0.0,0.03
0.0,0.0,0.04
0.0,0.0,0.03
0.0,0.0,0.02
0.0,0.0,0.02
0.0,0.0,0.04
0.0,0.0,0.05
0.0,0.0,0.04
0.0,0.0,0.03
0.0,0.0,0.05
0.0,0.0,0.06
0.0,0.0,0.05
0.0,0.0,0.04
0.0,0.0,0.05
0.0,0.0,0.06
0.0,0.0,0.06
0.0,0.0,0.03
0.0,0.0,0.03
0.0,0.0,0.04
0.0,0.0,0.06
0.0,0.0,0.05
0.0,0.0,0.04
0.0,0.0,0.06
0.0,0.0,0.08
0.0,0.0,0.08
0.0,0.0,0.06
0.0,0.0,0.06
0.0,0.0,0.07
0.0,0.0,0.08
0.0,0.0,0.06
0.0,0.0,0.05
0.0,0.0,0.06
0.0,0.0,0.07
0.0,0.0,0.07
0.0,0.0,0.05
0.0,0.0,0.05
0.0,0.0,0.07
0.0,0.0,0.08
0.0,0.0,0.07
0.0,0.0,0.06
0.01,0.0,0.06
0.0,0.0,0.08
0.0,0.0,0.08
0.01,0.0,0.06
0.01,0.0,0.06
0.0,0.0,0.07
0.0,0.0,0.08
0.0,0.0,0.06
0.0,0.0,0.06
0.0,0.0,0.06
0.0,0.0,0.07
0.0,0.0,0.08
0.0,0.0,0.07
0.01,0.0,0.06
0.01,0.0,0.07
0.0,0.0,0.08
0.0,0.0,0.08
0.01,0.0,0.07
0.01,0.0,0.07
0.01,0.0,0.08
0.0,0.0,0.08
0.0,0.0,0.08
0.0,0.0,0.07
0.0,0.0,0.07
0.0,0.0,0.08
0.0,0.0,0.08
0.0,0.0,0.08
0.0,0.0,0.07
0.0,0.0,0.06
0.0,0.0,0.08
0.0,0.0,0.08
0.0,0.0,0.07
0.01,0.0,0.07
0.01,0.0,0.07
0.0,0.0,0.08
0.0,0.0,0.08
0.0,0.0,0.07
0.0,0.0,0.06
0.0,0.0,0.08
0.0,0.0,0.08
0.0,0.0,0.07
0.0,0.0,0.06
0.0,0.0,0.04
0.0,0.0,0.06
0.0,0.0,0.07
0.0,0.0,0.06
0.0,0.0,0.07
0.0,0.0,0.06
0.0,0.0,0.08
0.0,0.0,0.08
0.0,0.0,0.07
0.0,0.0,0.06
0.0,0.0,0.08
0.0,0.0,0.08
0.0,0.0,0.08
0.0,0.0,0.07
0.0,0.0,0.06
0.0,0.0,0.07
0.0,0.0,0.08
0.0,0.0,0.07
0.0,0.0,0.06
0.0,0.0,0.07
0.0,0.0,0.08
0.0,0.0,0.08
0.0,0.0,0.06
0.0,0.0,0.04
0.0,0.0,0.05
0.0,0.0,0.05
0.0,0.0,0.05
0.0,0.0,0.04
0.0,0.0,0.02
0.0,0.0,0.01
0.0,0.0,0.01
0.0,0.01,0.0
0.0,0.01,0.0
0.0,0.01,0.02
0.0,0.0,0.05
0.0,0.0,0.07
0.0,0.0,0.08
0.0,0.0,0.08
0.01,0.0,0.1
0.02,0.0,0.11
0.02,0.0,0.12
0.03,0.0,0.1
0.03,0.0,0.08
