R0,R1,R2
2.0,0.48,0.0
0.0,0.36,0.0
0.0,0.3,0.0
0.0,0.24,0.0
0.0,0.21,0.0
0.0,0.17,0.0
0.0,0.15,0.0
0.0,0.13,0.0
0.0,0.11,0.0
0.0,0.09,0.0
0.0,0.08,0.0
0.0,0.07,0.0
0.0,0.07,0.0
0.0,0.06,0.0
0.0,0.0,5.0
0.16,5.0,0.0
0.1,5.0,0.0
0.12,2.97,0.12
0.04,2.94,0.0
0.04,3.45,0.0
0.06,2.87,0.0
0.05,1.91,0.0
0.03,1.47,0.0
0.02,1.19,0.0
0.02,1.3,0.0
0.01,1.29,0.0
0.0,1.09,0.0
0.0,0.95,0.0
0.0,0.8,0.0
0.0,0.63,0.0
0.0,0.49,0.0
0.0,0.42,0.0
0.0,0.34,0.0
0.0,0.28,0.0
0.0,0.22,0.0
0.0,0.2,0.0
0.0,0.16,0.0
0.0,0.14,0.0
0.0,0.12,0.0
0.0,0.11,0.0
0.0,0.1,0.0
0.0,0.08,0.0
0.0,0.0,5.0
0.0,3.79,0.0
0.0,5.0,0.0
0.11,3.46,0.02
0.01,3.61,0.0
0.07,3.44,0.0
0.08,2.47,0.0
0.03,1.9,0.0
0.02,1.8,0.0
0.03,1.79,0.0
0.03,1.6,0.0
0.0,1.49,0.0
0.0,1.21,0.0
0.0,1.11,0.0
0.0,1.0,0.0
0.0,0.82,0.0
0.0,0.65,0.0
0.0,0.56,0.0
0.0,0.43,0.0
0.0,0.38,0.0
0.0,0.3,0.0
0.0,0.27,0.0
0.0,0.22,0.0
0.0,0.19,0.0
0.0,0.16,0.0
0.0,0.14,0.0
0.0,0.12,0.0
0.0,0.11,0.0
0.0,0.16,0.0
0.06,0.0,3.36
0.0,5.0,0.5
0.37,5.0,0.0
0.31,2.96,0.58
0.17,2.94,0.04
0.22,3.67,0.0
0.18,3.36,0.0
0.15,2.93,0.0
0.05,2.76,0.0
0.02,2.71,0.0
0.05,2.3,0.0
0.03,1.96,0.0
0.01,1.73,0.0
0.0,1.36,0.0
0.01,1.16,0.0
0.01,0.91,0.0
0.0,0.78,0.0
0.0,0.64,0.0
0.0,0.56,0.0
0.01,0.45,0.0
0.0,0.4,0.0
0.0,0.34,0.0
0.0,0.3,0.0
0.0,0.25,0.0
0.0,0.22,0.0
0.0,0.2,0.0
0.0,0.19,0.0
0.0,0.17,0.0
0.0,0.15,0.0
0.0,0.0,5.0
1.04,3.33,0.0
0.72,5.0,0.0
0.79,3.16,0.06
0.55,3.42,0.09
0.45,4.33,0.02
0.34,3.81,0.02
0.28,3.44,0.0
0.21,3.11,0.0
0.16,2.8,0.0
0.15,2.42,0.0
0.09,2.08,0.0
0.06,1.64,0.0
0.04,1.4,0.0
0.05,1.09,0.0
0.02,0.91,0.0
0.01,0.72,0.0
0.02,0.63,0.0
0.02,0.51,0.0
0.01,0.44,0.0
0.0,0.38,0.0
0.01,0.33,0.0
0.0,0.28,0.0
0.0,0.24,0.0
0.0,0.22,0.0
0.0,0.2,0.0
0.0,0.18,0.0
0.0,0.16,0.0
0.0,0.16,1.46
0.06,0.0,0.0
1.68,5.0,0.0
1.11,3.35,0.0
0.96,4.08,0.0
0.49,4.11,0.0
0.56,3.44,0.0
0.38,2.88,0.0
0.3,2.34,0.0
0.21,2.03,0.0
0.15,1.54,0.0
0.06,1.18,0.0
0.04,0.9,0.0
0.02,0.74,0.0
0.04,0.58,0.0
0.02,0.48,0.0
0.02,0.38,0.0
0.01,0.33,0.0
0.02,0.28,0.0
0.01,0.24,0.0
0.0,0.21,0.0
0.0,0.19,0.0
0.01,0.16,0.0
0.0,0.14,0.0
0.0,0.13,0.0
0.0,0.12,0.0
0.0,0.11,0.0
0.0,0.1,0.0
0.0,0.1,0.0
0.35,0.0,0.0
1.57,5.0,0.42
1.2,3.53,0.15
0.78,3.7,0.0
0.4,3.95,0.0
0.59,3.26,0.0
0.36,2.73,0.0
0.3,2.07,0.0
0.17,1.69,0.0
0.13,1.23,0.0
0.08,0.99,0.0
0.05,0.73,0.0
0.04,0.63,0.0
0.04,0.49,0.0
0.03,0.41,0.0
0.01,0.32,0.0
0.01,0.28,0.0
0.02,0.24,0.0
0.01,0.21,0.0
0.0,0.17,0.0
0.0,0.16,0.0
0.0,0.14,0.0
0.0,0.11,0.0
0.0,0.11,0.0
0.0,0.1,0.0
0.0,0.09,0.0
0.0,0.08,0.0
0.0,0.08,0.0
0.0,0.07,0.0
0.0,0.06,0.0
0.0,0.06,0.0
0.0,0.06,0.0
0.0,0.06,0.0
0.0,0.06,0.0
0.0,0.0,0.0
5.0,0.01,2.82
0.29,0.12,1.76
0.0,0.28,1.51
0.78,0.28,0.99
1.1,0.32,0.64
0.58,0.06,0.43
0.04,0.0,0.18
0.0,0.0,0.11
0.0,0.0,0.1
0.0,0.04,0.08
0.0,0.01,0.05
0.0,0.01,0.04
0.0,0.03,0.02
0.0,0.04,0.02
0.0,0.02,0.01
0.0,0.02,0.0
0.0,0.03,0.0
0.0,0.04,0.01
0.0,0.03,0.0
0.0,0.02,0.0
0.0,0.03,0.0
0.0,0.03,0.0
0.0,0.02,0.0
0.0,0.02,0.0
0.0,0.03,0.0
0.0,0.03,0.0
5.0,1.87,0.0
0.0,0.04,0.31
0.0,0.66,0.98
2.49,0.34,0.27
0.98,0.27,0.25
0.0,0.38,0.27
0.0,0.22,0.25
0.0,0.13,0.32
0.0,0.1,0.18
0.0,0.11,0.17
0.0,0.1,0.11
0.0,0.06,0.07
0.0,0.08,0.06
0.0,0.08,0.05
0.0,0.07,0.04
0.0,0.05,0.02
0.0,0.05,0.02
0.0,0.06,0.01
0.0,0.04,0.01
0.0,0.03,0.0
